;entrypoints E71v42
;$TA$ 13.02.07
;245 штук
ALARM_CLOCK --- A06E7801
ALERTCALLS_FROM --- A06E8067
ANIM_SHUTDOWN --- A06E7D99
ANIM_STARTUP --- A06E7D85
ANY_KEY_ANSWER --- A06E8079
AUDIO_CALLS --- A06E7B39
AUDIO_MESSAGES --- A06E7BC9
AUDIO_ORGANISER --- A06E7C4D
AUDIO_WALKY --- A06E7B8F
AUTO_KEY_LOCK --- A06E8289
AUTO_OFF --- A06E8123
BACKLIGHT_DURAT --- A06E7E07
BAND_SELECTION --- A06E847F
BARRINGS --- A06E83D1
BIG_LETTERS --- A06E7DC7
BLUETOOTH --- A06E7EAF
BLUETOOTH_SETUP --- A06E7F27
BUDDHIST_YEAR --- A06E8249
BUSINESS_CARD --- A06E71E1
CALCULATOR --- A06E7827
CALL_DIVERT --- A06E805F
CALL_WAITING --- A06E804D
CAM_RECORD_VID --- A06E72E1
CAM_TAKE_PICT --- A06E72CD
CARKIT_MENU --- A06E84BF
CARKIT_PTT --- A06E8517
CARKIT_VOL_DOWN --- A06E84EF
CARKIT_VOL_UP --- A06E8503
CBS_SERVICES --- A06E75E9
CERTIFICATES --- A06E83C9
CHARGE_VIA_USB --- A06E84DB
CHOOSE_NETWORK --- A06E844B
CONTACTS_LIST --- A06E71C1
CONTACT_GROUPS --- A06E71F9
CONTACT_MOSTUSE --- A06E7229
CONTACT_NEW --- A06E71D1
CONTACT_ONLINE --- A06E7209
CONTACT_SIM --- A06E7219
CONTEXT_HANDLER --- A06E7F2F
CONTRAST --- A06E7DEB
COUNTDOWN --- A06E7955
COUNTRY_CODES --- A06E797F
DATE_CALCULATOR --- A06E7967
DATE_FORMAT --- A06E8225
DEVELOPER_MENU --- A06E79C9
DEVICE_INBOX --- A06E79F9
DEVICE_MANAGER --- A06E81AF
DICT_MACHINE --- A06E7787
DIRECT_CALL --- A06E8373
DOWNLOAD_ASSIST --- A06E7273
DYNAMIC_LIGHT --- A06E7E31
EMERGENCY_CALL --- A06E866D
EMO_DEVICE --- A06E85A5
EX_APPLICATIONS --- A06E7AB7
EX_GAMES --- A06E7A8D
EX_MISC --- A06E7AD9
EX_PICTURES --- A06E7A05
EX_SOUNDS --- A06E79E5
EX_THEMES --- A06E7A49
EX_VIDEOS --- A06E7A27
FAK_CHANGE_DLG --- A06E863B
FAK_DIRECTLINE --- A06E8623
FAK_NAVIKEYS --- A06E7FB1
FAK_NUMBERKEYS --- A06E7FDB
FAK_SOFTKEYS --- A06E7F91
FAST_SEARCH --- A06E8491
FAX_RECEIVE --- A06E7F5B
FAX_SEND_VOICE --- A06E7F41
FFS_FORMAT --- A06E8145
GPRS --- A06E7F07
GPRS_STATUS --- A06E7F19
GRPS_TEST --- A06E79AD
HEADSET_MENU --- A06E84D1
HIDE_ID --- A06E803B
ILLUMINATION --- A06E7DD9
IMAIL_COMP_MSG --- A06E8525
IMAIL_DRAFTS --- A06E8549
IMAIL_ILOCK --- A06E858F
IMAIL_INBOX --- A06E8531
IMAIL_MENU --- A06E8585
IMAIL_OUTBOX --- A06E853D
IMAIL_SAVED_MSG --- A06E8561
IMAIL_SENT --- A06E856D
IMAIL_SETTINGS --- A06E8579
IMAIL_SHOW_MENU --- A06E8519
IMAIL_TEMPLATES --- A06E8555
INFO_TONES --- A06E8111
INFUSIO_ESM --- A06E864D
INSERT_PLUS --- A06E8603
INSTANT_MESSAGE --- A06E75AD
INT_BOOKMARKS --- A06E7295
INT_BROWSER --- A06E729F
INT_ENTER_URL --- A06E728B
INT_HISTORY --- A06E72B9
INT_STORED_PAGE --- A06E72C3
KEY_LOCK --- A06E798F
KEY_TONES --- A06E80FF
LANGUAGE_DISP --- A06E80BB
LANGUAGE_INPUT --- A06E80D5
LICENSE_MANAGER --- A06E81D9
LINEAR_MENU --- A06E860B
LINE_MENU --- A06E8429
LOGO --- A06E7D5F
MAIN_MENU --- A06E79C1
MASTER_RESET --- A06E81BF
MEDIA_PLAYER --- A06E77F1
MEDIA_PLAYLAST --- A06E77F9
